Tên công việc,Mức lương,Khu vực tuyển,Cấp bậc,Số lượng tuyển,Hình thức làm việc,Yêu cầu bằng cấp,Yêu cầu kinh nghiệm,Ngành nghề,Quy mô công ty,Loại công ty
Kỹ Sư Bán Hàng Ngành Kỹ Thuật / Technical Sales Engineer – Thu Nhập Tới 25 Triệu,17.5,"Hà Nội, TP.HCM",Chuyên viên- nhân viên,6,Toàn thời gian cố định,Cao đẳng,1 năm,Bán hàng - Kinh doanh/Điện - Điện tử - Điện lạnh/Khoa học - Kỹ thuật,10 - 150 người,1
Sales Engineer  (Nhân Viên Phát Triển Giải Pháp Điều Khiển Chiếu Sáng),13.5,"Hà Nội, TP.HCM",Chuyên viên- nhân viên,3,Toàn thời gian cố định,Trung cấp,Dưới 1 năm,Bán hàng - Kinh doanh/Khoa học - Kỹ thuật,10 - 150 người,2
Nhân Viên Kinh Doanh Quốc Tế,17.5,TP.HCM,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Cao đẳng,2 năm,Bán hàng - Kinh doanh/Xuất Nhập Khẩu/Bán sỉ - Bán lẻ - Quản lý cửa hàng,Dưới 10 người,1
Nhân Viên Trợ Lý Phiên Dịch Biết Tiếng Anh - Tiếng Trung,16.5,TP.HCM,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Trung cấp,1 năm,Biên phiên dịch/Hành chính - Thư ký/Thông tin - Truyền thông - Quảng cáo,10 - 150 người,1
Chuyên Viên Chính Vận Hành Nghiệp Vụ,11.5,TP.HCM,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Cao đẳng,1 năm,IT Phần mềm/Vận hành - Bảo trì - Bảo dưỡng/IT Phần cứng - Mạng,Trên 300 người,2
Giám Sát Xây Dựng - Lương Tới 17 Triệu,15.0,TP.HCM,Quản lý nhóm- giám sát,2,Toàn thời gian cố định,Cao đẳng,1 năm,Xây dựng,10 - 150 người,1
Kế Toán Tổng Hợp,13.0,Hà Nội,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Cao đẳng,3 năm,Kế toán/Kiểm toán,10 - 150 người,1
Nhân Viên Làm Hồ Sơ Thầu Y Tế (Đi Làm Ngay),9.0,TP.HCM,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Cao đẳng,1 năm,Y tế - Chăm sóc sức khỏe/Hành chính - Thư ký/Hóa học - Hóa sinh,10 - 150 người,1
Nhân Viên Kinh Doanh Thức Ăn Gia Súc,17.5,Bình Dương,Chuyên viên- nhân viên,16,Toàn thời gian cố định,Trung cấp,Dưới 1 năm,Bán hàng - Kinh doanh/Chăm sóc khách hàng/Chăn nuôi - Thú y,Trên 300 người,1
Production Team Leader,15.0,Bình Dương,Quản lý nhóm- giám sát,8,Toàn thời gian cố định,Cao đẳng,2 năm,Sản xuất - Lắp ráp - Chế biến/Thực phẩm - Đồ uống/Vận hành - Bảo trì - Bảo dưỡng,Trên 300 người,2
Nhân Viên Bán Hàng Tư Vấn Mỹ Phẩm (Sulwhasoo / Laneige / Innisfree) - Hà Nội,7.5,Hà Nội,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Trung học,1 năm,Bán sỉ - Bán lẻ - Quản lý cửa hàng/Chăm sóc khách hàng/Bán hàng - Kinh doanh,150 - 300 người,1
Điều Dưỡng Viên,17.5,Hà Nội,Chuyên viên- nhân viên,3,Toàn thời gian cố định,Trung cấp,1 năm,Y tế - Chăm sóc sức khỏe/Dược phẩm,150 - 300 người,1
Nhân Viên Kỹ Thuật Tòa Nhà (Thủ Đức & Bình Thạnh HCM),9.25,TP.HCM,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Trung cấp,1 năm,Vận hành - Bảo trì - Bảo dưỡng/Điện - Điện tử - Điện lạnh/Cơ khí - Ô tô - Tự động hóa,Trên 300 người,1
Kiến Trúc Sư - Thiết Kế Nội Thất,17.5,Hà Nội,Chuyên viên- nhân viên,4,Toàn thời gian cố định,Đại học,2 năm,Kiến trúc - Thiết kế nội ngoại thất/Xây dựng,Dưới 10 người,2
Nhân Viên Tư Vấn Bán Hàng Livestream,10.0,TP.HCM,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Trung học,Dưới 1 năm,Bán sỉ - Bán lẻ - Quản lý cửa hàng/Thông tin - Truyền thông - Quảng cáo/Bán hàng - Kinh doanh,Dưới 10 người,1
Kỹ Sư Điện Tử Viễn Thông (Làm Việc Tại Nhật),37.5,Nước ngoài,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Đại học,Chưa có kinh nghiệm,Điện - Điện tử - Điện lạnh/Bưu chính viễn thông,10 - 150 người,1
Nhân Viên SEO Nội Thất,9.5,Hà Nội,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Cao đẳng,1 năm,Marketing/IT Phần mềm/Kiến trúc - Thiết kế nội ngoại thất,Dưới 10 người,1
Chuyên Viên Tư Vấn,10.5,"TP.HCM, Bình Dương, Sóc Trăng",Chuyên viên- nhân viên,30,Toàn thời gian cố định,Trung cấp,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Bất động sản/Bảo hiểm,Trên 300 người,2
Nhân Viên Kinh Doanh Thị Trường (Đồ Chơi),15.0,TP.HCM,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Không,2 năm,Bán hàng - Kinh doanh/Chăm sóc khách hàng/Bán sỉ - Bán lẻ - Quản lý cửa hàng,Dưới 10 người,1
Kế Toán Trưởng,12.5,"Phú Thọ, Hà Nội",Quản lý cấp trung,1,Toàn thời gian cố định,Cao đẳng,2 năm,Kế toán/Kiểm toán/Khách sạn - Nhà hàng - Du lịch,10 - 150 người,1
Giám Sát Nhà Hàng - Kem Swensen's Hà Nội,8.0,Hà Nội,Quản lý nhóm- giám sát,5,Toàn thời gian cố định,Trung cấp,Dưới 1 năm,Khách sạn - Nhà hàng - Du lịch/Bán sỉ - Bán lẻ - Quản lý cửa hàng,Trên 300 người,2
Nhân Viên Hành Chính Nhân Sự,10.0,Hà Nội,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Cao đẳng,1 năm,Nhân sự/Hành chính - Thư ký/Bán sỉ - Bán lẻ - Quản lý cửa hàng,10 - 150 người,2
Nhân Viên Kinh Doanh Phân Bón - Khu Vực Đồng Tháp (Đi Làm Ngay),17.5,Đồng Tháp,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Trung cấp,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Nông - Lâm - Ngư nghiệp/Bán sỉ - Bán lẻ - Quản lý cửa hàng,10 - 150 người,1
Nhân Viên Kinh Doanh Đi Làm Luôn (Thu Nhập Đến 20 Triệu),13.5,Hà Nội,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Trung cấp,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Thông tin - Truyền thông - Quảng cáo/Chăm sóc khách hàng,10 - 150 người,2
Nhân Viên Kinh Doanh Văn Phòng (Nữ),15.0,TP.HCM,Chuyên viên- nhân viên,3,Toàn thời gian cố định,Trung cấp,1 năm,Bán hàng - Kinh doanh/Bán sỉ - Bán lẻ - Quản lý cửa hàng,10 - 150 người,1
Trưởng Phòng Chăm Sóc Và Phát Triển Khách Hàng,16.0,Phú Yên,Quản lý cấp trung,1,Toàn thời gian cố định,Đại học,3 năm,Bán hàng - Kinh doanh/Chăm sóc khách hàng/Y tế - Chăm sóc sức khỏe,10 - 150 người,2
Nhân Viên Kinh Doanh Phụ Kiện Xe Hơi,10.0,Hà Nội,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Trung cấp,1 năm,Bán hàng - Kinh doanh/Cơ khí - Ô tô - Tự động hóa/Bán sỉ - Bán lẻ - Quản lý cửa hàng,Dưới 10 người,1
Nhân Viên Kế Toán Kho,8.5,Bình Dương,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Cao đẳng,Dưới 1 năm,Kế toán/Thu mua - Kho Vận - Chuỗi cung ứng,10 - 150 người,1
Nhân Viên Kế Toán,12.0,Hà Nội,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Đại học,Chưa có kinh nghiệm,Kế toán/Thu mua - Kho Vận - Chuỗi cung ứng/Bán sỉ - Bán lẻ - Quản lý cửa hàng,10 - 150 người,1
Phiên Dịch Viên Tiếng Trung,17.5,TP.HCM,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Trung cấp,1 năm,Biên phiên dịch/Hành chính - Thư ký,10 - 150 người,1
Kỹ Sư Môi Trường Lương 15 Triệu Tại Hà Nội,12.5,Hà Nội,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Đại học,2 năm,Môi trường - Xử lý chất thải/Khoa học - Kỹ thuật/Hóa học - Hóa sinh,Trên 300 người,2
Nhân Viên Kế Toán Lương 15 Triệu,14.0,Hà Nội,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Cao đẳng,3 năm,Kế toán/Kiểm toán/Xây dựng,Trên 300 người,2
"Nhân Viên Kinh Doanh Thị Trường, Bán Hàng",9.0,Hà Nội,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Cao đẳng,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Marketing/Bán sỉ - Bán lẻ - Quản lý cửa hàng,Trên 300 người,1
"Nhân Viên Lập Dự Toán, Dự Thầu",12.5,Hà Nội,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Đại học,5 năm,Khoa học - Kỹ thuật/Xây dựng/Kiến trúc - Thiết kế nội ngoại thất,150 - 300 người,1
Nhân Viên Kỹ Thuật Triển Khai Bản Vẽ Thi Công,11.0,Hà Nội,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Trung cấp,2 năm,Xây dựng/Kiến trúc - Thiết kế nội ngoại thất,150 - 300 người,1
Nhân Viên Thiết Kế Rập,11.5,Long An,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Cao đẳng,2 năm,Dệt may - Da giày - Thời trang/Sản xuất - Lắp ráp - Chế biến/Thiết kế - Sáng tạo nghệ thuật,Trên 300 người,1
Nhân Viên Kinh Doanh (Thu Nhập 12 - 18 Triệu),15.0,Hà Nội,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Trung cấp,Dưới 1 năm,Bán hàng - Kinh doanh/Bán sỉ - Bán lẻ - Quản lý cửa hàng/Chăm sóc khách hàng,10 - 150 người,1
"Kỹ Thuật Viên Bảo Trì - Lắp Đặt - Sửa Chữa (Thang Máy, Thang Cuốn)",11.5,Hà Nội,Chuyên viên- nhân viên,4,Toàn thời gian cố định,Trung cấp,Dưới 1 năm,Khoa học - Kỹ thuật/Vận hành - Bảo trì - Bảo dưỡng/Sản xuất - Lắp ráp - Chế biến,10 - 150 người,2
"Nhân Viên Bảo Trì Điện Nước (Măng Đen, Kon Tum)",8.0,Kon Tum,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Trung cấp,1 năm,Điện - Điện tử - Điện lạnh/Vận hành - Bảo trì - Bảo dưỡng/Khách sạn - Nhà hàng - Du lịch,10 - 150 người,1
Trợ Lý Tiếng Nhật,10.5,Đà Nẵng,Chuyên viên- nhân viên,3,Toàn thời gian cố định,Chứng chỉ,1 năm,Hành chính - Thư ký/Sản xuất - Lắp ráp - Chế biến/Biên phiên dịch,10 - 150 người,1
"Nhân Viên Bảo Vệ An Ninh (Ưu Tiên Khu Vực Ocp 3 Văn Giang, Hưng Yên)",9.0,"Hưng Yên, Hà Nội, Quảng Ninh, TP.HCM, Hải Phòng",Chuyên viên- nhân viên,40,Toàn thời gian cố định,Trung học,Chưa có kinh nghiệm,An ninh - Bảo vệ/Khách sạn - Nhà hàng - Du lịch/Lao động phổ thông,Trên 300 người,2
Nhân Viên Kinh Doanh Thu Nhập Trên 20 Triệu,16.0,TP.HCM,Chuyên viên- nhân viên,3,Toàn thời gian cố định,Cao đẳng,2 năm,Bán hàng - Kinh doanh/Môi trường - Xử lý chất thải/Y tế - Chăm sóc sức khỏe,10 - 150 người,1
Nhân Viên Văn Phòng - Sinh Quản (Biết Tiếng Trung),10.0,Long An,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Cao đẳng,1 năm,Hành chính - Thư ký/Biên phiên dịch/Bán hàng - Kinh doanh,10 - 150 người,1
"Chuyên Viên Hành Chính Nhân Sự (Làm Tại Mũi Né, Phan Thiết)",10.0,Bình Thuận,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Đại học,5 năm,Nhân sự/Hành chính - Thư ký/Luật - Pháp Lý - Tuân thủ,150 - 300 người,1
[Hà Nội] Nhân Viên Telesales / Tư Vấn Tài Chính Thu Nhập 10 - 20Tr,12.5,Hà Nội,Chuyên viên- nhân viên,50,Toàn thời gian cố định,Trung học,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Chăm sóc khách hàng/Ngân hàng,Trên 300 người,1
Nhân Viên Kinh Doanh Thị Trường - Khu Vực Miền Đông & HCM,13.0,"TP.HCM, Bình Dương, Bình Phước, Đồng Nai, Bà Rịa - Vũng Tàu, Quảng Nam, Thừa Thiên Huế, Quảng Bình, Quảng Trị",Chuyên viên- nhân viên,20,Toàn thời gian cố định,Trung học,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Tài chính - Đầu tư - Chứng Khoán/Ngân hàng,Trên 300 người,1
Nhân Viên Triển Khai Bản Vẽ Tại Quảng Ngãi,7.5,Quảng Ngãi,Chuyên viên- nhân viên,4,Toàn thời gian cố định,Trung cấp,Chưa có kinh nghiệm,Kiến trúc - Thiết kế nội ngoại thất/Xây dựng/Cơ khí - Ô tô - Tự động hóa,10 - 150 người,1
Kế Toán Tổng Hợp (Long An Có Xe Đưa Rước HCM),18.5,Long An,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Cao đẳng,3 năm,Kế toán/Tài chính - Đầu tư - Chứng Khoán/Kiểm toán,150 - 300 người,1
Nhân Viên Kinh Doanh (Hồ Chí Minh / Hà Nội),19.0,"Hà Nội, TP.HCM",Chuyên viên- nhân viên,6,Toàn thời gian cố định,Đại học,1 năm,Bán hàng - Kinh doanh/Bán sỉ - Bán lẻ - Quản lý cửa hàng,10 - 150 người,2
Kỹ Thuật Viên Bảo Trì Điện (Không Yêu Cầu Kinh Nghiệm),8.5,Nghệ An,Chuyên viên- nhân viên,3,Toàn thời gian cố định,Cao đẳng,Chưa có kinh nghiệm,Vận hành - Bảo trì - Bảo dưỡng/Khoa học - Kỹ thuật/Điện - Điện tử - Điện lạnh,Trên 300 người,2
[HCM-Bình Thạnh / Quận 7&4] Chuyên Viên Tư Vấn Bảo Hiểm - Kênh Liên Kết Ngân Hàng Vietinbank,15.0,"TP.HCM, Hà Nội, Nghệ An, Đồng Nai",Chuyên viên- nhân viên,3,Toàn thời gian cố định,Cao đẳng,1 năm,Bán hàng - Kinh doanh/Bán sỉ - Bán lẻ - Quản lý cửa hàng/Chăm sóc khách hàng,150 - 300 người,1
[Nhơn Trạch / Long Thành / Biên Hòa-Đồng Nai] Chuyên Viên Tư Vấn Bảo Hiểm - Kênh Liên Kết Ngân Hàng Vietinbank,15.0,"TP.HCM, Hà Nội, Nghệ An, Đồng Nai",Chuyên viên- nhân viên,3,Toàn thời gian cố định,Cao đẳng,1 năm,Bán hàng - Kinh doanh/Bảo hiểm/Ngân hàng,150 - 300 người,1
[Quận 7 & Quận 8] Chuyên Viên Tư Vấn Bảo Hiểm - Kênh Liên Kết Ngân Hàng Vietinbank,15.0,"TP.HCM, Hà Nội, Nghệ An, Đồng Nai",Chuyên viên- nhân viên,3,Toàn thời gian cố định,Cao đẳng,1 năm,Bán hàng - Kinh doanh/Bảo hiểm/Tài chính - Đầu tư - Chứng Khoán,150 - 300 người,1
Kỹ Thuật Viên Bảo Trì Tự Động ( Lương 10-15 Triệu),12.5,Tây Ninh,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Đại học,2 năm,Khoa học - Kỹ thuật/Vận hành - Bảo trì - Bảo dưỡng/Cơ khí - Ô tô - Tự động hóa,Trên 300 người,2
Trưởng Phòng Kinh Doanh (Thu Nhập Trên 32 Triệu),33.5,Hà Nội,Quản lý cấp trung,1,Toàn thời gian cố định,Đại học,2 năm,Bán hàng - Kinh doanh/Bán sỉ - Bán lẻ - Quản lý cửa hàng/Tài chính - Đầu tư - Chứng Khoán,10 - 150 người,1
Trợ Lý Bếp Ăn,9.0,Hà Nội,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Không,Dưới 1 năm,Khách sạn - Nhà hàng - Du lịch/Bán hàng - Kinh doanh/Thực phẩm - Đồ uống,10 - 150 người,1
Quản Lý Cửa Hàng Thời Trang (Hà Nội),15.0,Hà Nội,Quản lý cấp trung,10,Toàn thời gian cố định,Trung cấp,1 năm,Chăm sóc khách hàng/Bán hàng - Kinh doanh/Bán sỉ - Bán lẻ - Quản lý cửa hàng,10 - 150 người,1
Nhân Viên Kinh Doanh,13.0,"Vĩnh Phúc, Yên Bái, Đắk Nông",Chuyên viên- nhân viên,20,Toàn thời gian cố định,Trung học,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Tài chính - Đầu tư - Chứng Khoán/Ngân hàng,Trên 300 người,1
Nhân Viên Thiết Kế Nội Thất (Chương Mỹ - Hà Nội),12.5,Hà Nội,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Cao đẳng,2 năm,Thiết kế - Sáng tạo nghệ thuật/Kiến trúc - Thiết kế nội ngoại thất/Cơ khí - Ô tô - Tự động hóa,150 - 300 người,2
Nhân Viên Kinh Doanh Thị Trường,9.5,Hà Nội,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Đại học,2 năm,Bán hàng - Kinh doanh/Xây dựng/Bán sỉ - Bán lẻ - Quản lý cửa hàng,10 - 150 người,1
Nhân Viên Kinh Doanh Posm (Account Manger),15.0,TP.HCM,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Trung cấp,2 năm,Bán hàng - Kinh doanh/Chăm sóc khách hàng/Marketing,150 - 300 người,1
"Nhân Viên Kinh Doanh (Nữ) - Thu Nhập Lên Đến 20 Triệu - Tại Quận 12, Tp. HCM",15.0,TP.HCM,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Trung học,1 năm,Sản xuất - Lắp ráp - Chế biến/Bán hàng - Kinh doanh/Chăm sóc khách hàng,10 - 150 người,1
Trưởng Nhóm Sale Trung Tâm Tiếng Anh Nghe Nói - Kids,12.5,TP.HCM,Quản lý nhóm- giám sát,1,Toàn thời gian cố định,Đại học,2 năm,Bán hàng - Kinh doanh/Giáo dục - Đào tạo/Bán sỉ - Bán lẻ - Quản lý cửa hàng,Dưới 10 người,1
Nhân Viên Tư Vấn Tín Dụng - Kênh Trả Góp Tại Đà Nẵng,11.5,Đà Nẵng,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Trung học,Dưới 1 năm,Tài chính - Đầu tư - Chứng Khoán/Ngân hàng/Bán hàng - Kinh doanh,Trên 300 người,1
"Nhân Viên Tư Vấn Tín Dụng - Kênh Trả Góp Tại Quảng Bình, Thừa Thiên Huế",11.5,"Quảng Bình, Thừa Thiên Huế",Chuyên viên- nhân viên,5,Toàn thời gian cố định,Trung học,Dưới 1 năm,Tài chính - Đầu tư - Chứng Khoán/Ngân hàng/Bán hàng - Kinh doanh,Trên 300 người,1
Lái Xe Giám Đốc - Văn Phòng - Khu Công Nghiệp - Có Chỗ Ở Cho Lái Xe Ở Xa,10.5,Hà Nội,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung học,2 năm,Vận Tải - Lái xe - Giao nhận/Vận hành - Bảo trì - Bảo dưỡng/Quản lý dự án,150 - 300 người,1
Trưởng Nhóm Nhắc Phí Qua Tổng Đài (Hà Nội),21.0,Hà Nội,Quản lý nhóm- giám sát,3,Toàn thời gian cố định,Đại học,2 năm,Ngân hàng/Luật - Pháp Lý - Tuân thủ/Chăm sóc khách hàng,Trên 300 người,1
Nhân Viên Kinh Doanh Yến Sào,15.0,Bình Dương,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Đại học,1 năm,Thực phẩm - Đồ uống/Bán hàng - Kinh doanh/Bán sỉ - Bán lẻ - Quản lý cửa hàng,10 - 150 người,1
Nữ Nhân Viên Kinh Doanh - Lương Tới 25 Triệu,22.5,Hà Nội,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Cao đẳng,Dưới 1 năm,Bán hàng - Kinh doanh/Y tế - Chăm sóc sức khỏe/Bán sỉ - Bán lẻ - Quản lý cửa hàng,Dưới 10 người,1
Trưởng Nhóm Tư Vấn Thẩm Mỹ,40.0,TP.HCM,Quản lý nhóm- giám sát,1,Toàn thời gian cố định,Trung cấp,2 năm,Bán hàng - Kinh doanh/Marketing/Chăm sóc khách hàng,150 - 300 người,2
Giám Đốc Tiền Sảnh - Quản Lý Nhà Hàng Lẩu Nướng Datang,19.0,TP.HCM,Quản lý cấp cao,1,Toàn thời gian cố định,Không,5 năm,Khách sạn - Nhà hàng - Du lịch/Quản lý tiêu chuẩn và chất lượng,10 - 150 người,1
Nhân Viên Tư Vấn BĐS Nhà Phố TPHCM (Hecoland),30.0,TP.HCM,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Trung cấp,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Bất động sản/Chăm sóc khách hàng,10 - 150 người,2
"Nhân Viên Tư Vấn Trả Góp Tại Tp. Hà Nội, Vĩnh Phúc, Thanh Hóa",11.0,"Hà Nội, Thanh Hóa, Vĩnh Phúc",Chuyên viên- nhân viên,28,Toàn thời gian cố định,Trung học,Dưới 1 năm,Bán hàng - Kinh doanh/Tài chính - Đầu tư - Chứng Khoán/Ngân hàng,Trên 300 người,1
Chuyên Viên Phát Triển Thị Trường Ngành Phụ Tùng Xe Máy Lương 10Tr – 20Tr (Khu Vực HCM – Miền Trung),13.0,TP.HCM,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Cao đẳng,1 năm,Bán sỉ - Bán lẻ - Quản lý cửa hàng/Bán hàng - Kinh doanh/Chăm sóc khách hàng,10 - 150 người,1
Chuyên Viên Marketing (Long Biên - Hà Nội),11.5,Hà Nội,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Cao đẳng,1 năm,Marketing/Thông tin - Truyền thông - Quảng cáo/Truyền hình - Báo chí - Biên tập,Dưới 10 người,2
Nhân Viên Kinh Doanh - Không Yêu Cầu Kinh Nghiệm,15.0,TP.HCM,Chuyên viên- nhân viên,3,Toàn thời gian cố định,Không,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Bán sỉ - Bán lẻ - Quản lý cửa hàng/Chăm sóc khách hàng,10 - 150 người,1
Phó Phòng Kế Toán,16.5,Bà Rịa - Vũng Tàu,Quản lý cấp trung,1,Toàn thời gian cố định,Đại học,5 năm,Kế toán/Ngân hàng/Hành chính - Thư ký,10 - 150 người,1
