Liên kết,Tên công việc,Tên công ty,Mức lương,Khu vực tuyển
https://vieclam24h.vn/cham-soc-khach-hang/nhan-vien-cham-soc-khach-hang-c30p122id200291520.html,Nhân Viên Chăm Sóc Khách Hàng,Công Ty TNHH Vjss Việt Nam - Nhật Bản,7 - 12 triệu,"TP.HCM, Hà Nội"
https://vieclam24h.vn/nhan-su/chuyen-vien-tuyen-dung-c22p123id200290881.html,Chuyên Viên Tuyển Dụng,Công Ty TNHH Sadova,10 - 12 triệu,"Long An, TP.HCM"
https://vieclam24h.vn/thu-mua-kho-van-chuoi-cung-ung/nhan-vien-data-c14p73id200294653.html,Nhân Viên Data,Công Ty TNHH Đại Siêu Thị Mê Linh,8 - 9 triệu,Hà Nội
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-van-phong-biet-tieng-hoa-tai-binh-duong-di-lam-ngay-c1p119id200269244.html,Nhân Viên Văn Phòng (Biết Tiếng Hoa) - Tại Bình Dương (Đi Làm Ngay),Công Ty TNHH Cheng Loong Bình Dương Paper,9.5 - 15 triệu,Bình Dương
https://vieclam24h.vn/ke-toan/ke-toan-tong-hop-c17p122id200290619.html,Kế Toán Tổng Hợp,Công Ty TNHH Thương Mại Nghĩa Trí,12 - 18 triệu,TP.HCM
https://vieclam24h.vn/cham-soc-khach-hang/nhan-vien-van-phong-c30p109id200291502.html,Nhân Viên Văn Phòng,Cty TNHH TM DV Du Lịch An Nam Tour,7 - 9 triệu,Khánh Hòa
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-le-tan-tp-hcm-c1p122id200293695.html,Nhân Viên Lễ Tân - Tp.HCM,Công Ty CP Xd Phước Thành,7 - 10 triệu,TP.HCM
https://vieclam24h.vn/hanh-chinh-thu-ky/production-clerk-thu-ky-san-xuat-c1p122id200275939.html,Production Clerk (Thư Ký Sản Xuất),Công Ty Cổ Phần Đầu Tư Asia Dragon,12 - 18 triệu,TP.HCM
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-hanh-chinh-le-tan-phong-van-nhan-viec-ngay-c1p73id200293045.html,Nhân Viên Hành Chính - Lễ Tân (Phỏng Vấn Nhận Việc Ngay),Công ty CP xây dựng và nội thất Phú Minh,8 - 10 triệu,Hà Nội
https://vieclam24h.vn/hanh-chinh-thu-ky/office-administrator-admin-van-phong-c1p122id200287941.html,Office Administrator (Admin Văn Phòng),Công Ty TNHH Đầu Tư Xây Dựng Aquarius,7 - 15 triệu,TP.HCM
https://vieclam24h.vn/xuat-nhap-khau/nhan-vien-chung-tu-xuat-nhap-khau-thu-nhap-den-15-trieu-c15p120id200292090.html,Nhân Viên Chứng Từ Xuất Nhập Khẩu Thu Nhập Đến 15 Triệu,Công Ty Tnhh Việt Kiến Phát,10 - 15 triệu,Đồng Nai
https://vieclam24h.vn/luat-phap-ly-tuan-thu/thu-ky-nghiep-vu-c25p122id200293185.html,Thư Ký Nghiệp Vụ,Văn Phòng Công Chứng Tân Phú,5 - 7 triệu,TP.HCM
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-van-phong-c1p73id200287745.html,Nhân Viên Văn Phòng,Chi Nhánh Công Ty TNHH Pac Sea & Air Logistics,8 - 9 triệu,Hà Nội
https://vieclam24h.vn/cham-soc-khach-hang/nhan-vien-van-phong-tro-giang-c30p121id200290461.html,Nhân Viên Văn Phòng Trợ Giảng,Công Ty TNHH Đào Tạo Và Tư Vấn Du Học Đỉnh Cao - Trường Anh Ngữ Quốc Tế Apex,6 - 8 triệu,Bà Rịa - Vũng Tàu
https://vieclam24h.vn/ke-toan/nhan-vien-ke-toan-lam-viec-tai-cn-hcm-c17p122id200293490.html,Nhân Viên Kế Toán (Làm Việc Tại Cn HCM),Công Ty Cổ Phần Thi Công Quản Lý Vận Hành Chiếu Sáng Đô Thị Tây Ninh,8 - 15 triệu,TP.HCM
https://vieclam24h.vn/san-xuat-lap-rap-che-bien/nhan-vien-ke-hoach-san-xuat-c9p122id200287539.html,Nhân Viên Kế Hoạch Sản Xuất,Công Ty Tnhh Sản Xuất - Thương Mại - Quảng Cáo - Dịch Vụ Mạng Quốc Tế H.T.D,6 - 12 triệu,TP.HCM
https://vieclam24h.vn/ke-toan/nhan-vien-ke-toan-ban-hang-lam-viec-q12-hoc-mon-c17p122id200292039.html,"Nhân Viên Kế Toán Bán Hàng - Làm Việc Q12, Hóc Môn",Công Ty Cổ Phần Gỗ Minh Tâm,8 - 10 triệu,TP.HCM
https://vieclam24h.vn/hanh-chinh-thu-ky/tro-ly-san-xuat-kiem-phien-dich-tieng-trung-tai-binh-xuyen-vinh-phuc-c1p89id200289994.html,"Trợ Lý Sản Xuất Kiêm Phiên Dịch Tiếng Trung Tại Bình Xuyên, Vĩnh Phúc",Công Ty Cổ Phần Heriz Vina,10 - 15 triệu,"Vĩnh Phúc, Hà Nội"
https://vieclam24h.vn/cham-soc-khach-hang/nhan-vien-cham-soc-khach-hang-c30p122id200289630.html,Nhân Viên Chăm Sóc Khách Hàng,Công Ty Tnhh Thương Mại Dịch Vụ Truyên Thông Xuân Nam,12 - 15 triệu,TP.HCM
https://vieclam24h.vn/ke-toan/nhan-vien-ke-toan-tong-hop-hai-phong-c17p92id200293543.html,Nhân Viên Kế Toán Tổng Hợp - Hải Phòng,Công Ty Cổ Phần Thương Mại Thép Hùng Cường,7 - 15 triệu,Hải Phòng
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-hanh-chinh-nhan-su-kiem-tro-ly-tong-giam-doc-c1p122id200294483.html,Nhân Viên Hành Chính Nhân Sự Kiêm Trợ Lý Tổng Giám Đốc,Công Ty Cổ Phần Đầu Tư Và Tư Vấn Thiết Kế Xây Dựng Đại Phát,10 - 12 triệu,TP.HCM
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-van-phong-c1p119id200292366.html,Nhân Viên Văn Phòng,Công Ty TNHH Công Nghiệp Kingtec Việt Nam,7 - 9 triệu,Bình Dương
https://vieclam24h.vn/nhan-su/nhan-vien-cham-soc-khach-hang-online-c22p122id200291482.html,Nhân Viên Chăm Sóc Khách Hàng Online,Công Ty TNHH Trang Sức Helia Fine Jewelry,5 - 10 triệu,TP.HCM
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-cham-soc-khach-hang-nhac-phi-c1p73id200294777.html,Nhân Viên Chăm Sóc Khách Hàng (Nhắc Phí),Công ty Tài Chính TNHH HD SAISON,10 - 18 triệu,Hà Nội
https://vieclam24h.vn/hanh-chinh-thu-ky/tong-dai-vien-nhac-phi-c1p73id200294779.html,Tổng Đài Viên Nhắc Phí,Công ty Tài Chính TNHH HD SAISON,10 - 18 triệu,Hà Nội
https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-cham-soc-khach-hang-c13p73id200290980.html,Nhân Viên Chăm Sóc Khách Hàng,Công Ty CP Pt Kinh Doanh Thịnh Phát,9 - 15 triệu,"Hà Nội, TP.HCM"
https://vieclam24h.vn/cham-soc-khach-hang/nhan-vien-cham-soc-khach-hang-c30p122id200291001.html,Nhân Viên Chăm Sóc Khách Hàng,Công Ty Cổ Phần Vpharm,5 - 10 triệu,TP.HCM
https://vieclam24h.vn/nhan-su/chuyen-vien-tuyen-dung-c22p119id200290919.html,Chuyên Viên Tuyển Dụng,Công Ty TNHH MTV Sơn Hà SSP Việt Nam,10 - 15 triệu,Bình Dương
https://vieclam24h.vn/hanh-chinh-thu-ky/tro-ly-giam-doc-dieu-hanh-assistant-to-chief-operating-officer-c1p119id200291213.html,Trợ Lý Giám Đốc Điều Hành (Assistant To Chief Operating Officer),Công Ty TNHH Phát Triển Liên Vinh,15 - 25 triệu,Bình Dương
https://vieclam24h.vn/hanh-chinh-thu-ky/ke-toan-cong-no-c1p122id200291189.html,Kế Toán Công Nợ,Công Ty TNHH SX Và TM Hoa Sen Vàng,8.5 - 9.5 triệu,TP.HCM
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-le-tan-spa-c1p122id200290836.html,Nhân Viên Lễ Tân Spa,Mộc Hương Spa,8 - 10 triệu,TP.HCM
https://vieclam24h.vn/xuat-nhap-khau/nhan-vien-chung-tu-xuat-nhap-khau-c15p122id200290090.html,Nhân Viên Chứng Từ Xuất Nhập Khẩu,Công Ty Cổ Phần Vinh Vân Minh Vân (VVMV JSC),8 - 10 triệu,TP.HCM
https://vieclam24h.vn/ban-hang-kinh-doanh/sale-admin-nu-nhan-vien-tu-van-ban-hang-quan-12-di-lam-ngay-c13p122id200290027.html,[Sale Admin] Nữ Nhân Viên Tư Vấn Bán Hàng - Quận 12 - Đi Làm Ngay,Công Ty TNHH Thương Mại Dịch Vụ Minh Phú Falico,11 - 14 triệu,TP.HCM
